title,avg_price_by_title,avg_mileage_by_title,avg_months_on_road_by_title,std_error_pct_x,std_error_pct_y
אאודי A1,65759.54285714286,121046.71428571429,101.21428571428571,7.693409807728722,7.693409807728722
אאודי A3,105342.02142857143,110819.39285714286,91.53571428571429,10.168353785821687,10.168353785821687
אאודי Q3,147006.35,85221.67,70.01,7.674162745561065,7.674162745561065
אאודי Q5,119288.76691729324,122452.99248120301,98.97744360902256,8.527616289542323,8.527616289542323
אאודי Q7,222025.25423728814,134550.93220338982,90.52542372881356,11.284314033803593,11.284314033803593
אופל אסטרה,15871.054347826086,160463.55434782608,127.79347826086956,29.230283011976056,29.230283011976056
אופל קורסה,41969.26666666667,115479.71111111112,89.54444444444445,22.281451527658486,22.281451527658486
איסוזו די-מקס,92965.52066115703,235981.4958677686,119.23140495867769,13.179394882409369,13.179394882409369
אלפא רומיאו ג'ולייטה,39702.192307692305,141835.92307692306,115.3076923076923,17.171628459017462,17.171628459017462
אם ג'י EHS PHEV,115672.04347826086,68630.00621118012,37.515527950310556,4.074808933722596,4.074808933722596
אם ג'י ZS,77444.66666666667,78481.05555555556,48.77777777777778,8.938446406857137,8.938446406857137
ב מ וו X1,120666.2027027027,84602.8918918919,74.25675675675676,7.005812151421095,7.005812151421095
ב מ וו X5,214754.66666666666,129482.71428571429,101.77777777777777,9.642816448935925,9.642816448935925
ב מ וו סדרה 1,79233.43181818182,104756.125,94.19318181818181,11.890389173179619,11.890389173179619
ב מ וו סדרה 3,119835.6125,116518.4375,100.5875,10.484127634776401,10.484127634776401
ב מ וו סדרה 5,201081.51315789475,113168.55263157895,92.5,11.300787021092246,11.300787021092246
בי.ווי.די אטו 3,130730.87005649718,43309.32203389831,22.502824858757062,3.84524493922558,3.84524493922558
ג'יפ גרנד צ'ירוקי,124512.56617647059,144757.3088235294,110.61029411764706,13.4575359141437,13.4575359141437
ג'יפ רנגלר,231567.1935483871,73939.20430107527,63.01075268817204,8.517699865980115,8.517699865980115
ג׳ילי Geometry C,118448.2828685259,44983.8047808765,26.04382470119522,4.872348207236439,4.872348207236439
דאצ'יה דאסטר,57961.29807692308,135988.32692307694,65.16346153846153,8.916294664018608,8.916294664018608
דייהטסו סיריון,9531.805194805194,197813.41558441558,199.55844155844156,14.881373439297333,14.881373439297333
הונדה סיוויק,24492.723247232472,200009.71217712178,173.7749077490775,16.678729040564118,16.678729040564118
וולוו XC60,115859.18518518518,143961.4814814815,95.68518518518519,19.870615801320838,19.870615801320838
טויוטה C-HR,113178.34554973822,86253.79581151833,58.72251308900523,4.603563984408048,4.603563984408048
טויוטה RAV4,133716.3606557377,120129.73224043715,83.00546448087432,7.947917568010842,7.947917568010842
טויוטה אוריס,39372.194444444445,209122.53703703705,126.22222222222223,9.420349510318134,9.420349510318134
טויוטה היילקס,152780.95833333334,239565.15277777778,116.61111111111111,8.471985130540174,8.471985130540174
טויוטה יאריס,46523.19662921348,153922.54494382022,140.87640449438203,11.924593510805012,11.924593510805012
טויוטה יאריס קרוס,140699.4642857143,33532.41071428572,15.357142857142858,4.912752370641504,4.912752370641504
טויוטה לנד קרוזר,163484.28640776698,251567.55339805825,162.6893203883495,10.303930488759146,10.303930488759146
טויוטה פריוס,37464.46315789474,254691.71578947367,150.6315789473684,7.507452386820075,7.507452386820075
טויוטה קאמרי,70796.63953488372,181107.23255813954,116.27906976744185,14.81704679675232,14.81704679675232
טויוטה קורולה,73769.43343343343,133149.1751751752,90.85485485485485,7.617080900562201,7.617080900562201
טסלה מודל 3,166520.61494252874,63726.61494252874,33.0,4.614339262130002,4.614339262130002
טסלה מודל Y,215375.92,36974.8,18.493333333333332,4.352465700879548,4.352465700879548
יונדאי I35,31350.40740740741,186566.6851851852,136.16666666666666,9.107370738217769,9.107370738217769
יונדאי i10,46100.5617433414,99070.09685230024,85.59322033898304,7.853540069137657,7.853540069137657
יונדאי i20,59690.482954545456,105906.69602272728,82.30681818181819,6.880755533730562,6.880755533730562
יונדאי i30,20107.321888412018,191624.4077253219,156.19742489270385,11.844763546562115,11.844763546562115
יונדאי ix35,37356.640625,175225.734375,148.96875,9.03947122391385,9.03947122391385
יונדאי איוניק,89750.68596237338,114689.93053545586,57.65412445730825,4.461643007174573,4.461643007174573
יונדאי איוניק 5,168567.64044943822,50493.0,26.93258426966292,3.706706892651196,3.706706892651196
יונדאי אלנטרה,111000.37142857142,79426.01224489795,42.66530612244898,4.68342858876102,4.68342858876102
יונדאי אקסנט i25,27912.147826086955,175419.24782608697,136.1304347826087,15.211208256309034,15.211208256309034
יונדאי וניו,101756.5,46078.846153846156,27.134615384615383,3.324678291999487,3.324678291999487
יונדאי טוסון,103392.85129310345,85982.38577586207,69.99137931034483,6.272712203434878,6.272712203434878
יונדאי סונטה,103363.61956521739,110383.93478260869,67.55797101449275,6.435672385360105,6.435672385360105
יונדאי סנטה פה,87771.42666666667,160769.53333333333,120.90666666666667,13.73578902036917,13.73578902036917
יונדאי קונה,108949.68253968254,59777.15079365079,38.333333333333336,5.883818429780203,5.883818429780203
לנד רובר ריינג' רובר איווק,197196.13461538462,84100.0,72.5576923076923,7.479558943452511,7.479558943452511
לנד רובר ריינג' רובר ספורט,334371.19402985077,110429.19402985074,81.23880597014926,12.644089635300894,12.644089635300894
מאזדה 2,51086.09659090909,123608.21022727272,101.28977272727273,8.098686123105283,8.098686123105283
מאזדה 3,35176.88143176734,176061.31767337807,151.5480984340045,13.147402277634262,13.147402277634262
מאזדה 5,19736.06818181818,217922.42424242425,182.8560606060606,17.233066384156515,17.233066384156515
מאזדה 6,53212.360544217685,156883.40136054423,124.36734693877551,16.304571579436953,16.304571579436953
מאזדה CX-5,92473.64503816795,112252.42748091603,81.8206106870229,5.721280007549072,5.721280007549072
מיצובישי ASX,87112.41428571429,77745.42857142857,52.957142857142856,3.8898810584103365,3.8898810584103365
מיצובישי אאוטלנדר,86266.0391198044,145957.54278728607,91.3398533007335,6.982942326657283,6.982942326657283
מיצובישי אקליפס קרוס,103850.25714285714,67505.84285714285,51.114285714285714,3.7976356202483,3.7976356202483
מיצובישי טרייטון / L200,82904.08620689655,225173.10344827586,114.32758620689656,13.366936882664033,13.366936882664033
מיצובישי לנסר,9701.55238095238,224146.89523809523,200.17142857142858,30.6616041349614,30.6616041349614
מיצובישי ספייס סטאר,53285.65934065934,74651.83516483517,56.956043956043956,7.173206447305442,7.173206447305442
מיצובישי פג'רו,69523.58762886598,284869.03092783503,218.30927835051546,12.23366517140621,12.23366517140621
מרצדס-בנץ A-class,131016.94444444444,97768.125,82.29166666666667,10.694558198384724,10.694558198384724
מרצדס-בנץ C-class,157646.81967213115,179493.1475409836,85.88524590163935,16.735316618422402,16.735316618422402
מרצדס-בנץ CLA,174247.7594936709,79030.6835443038,62.81012658227848,7.607977045245842,7.607977045245842
מרצדס-בנץ E-class,188440.67256637168,182446.1592920354,84.82300884955752,14.226726539076475,14.226726539076475
מרצדס-בנץ GLC,326296.6779661017,62124.542372881355,49.559322033898304,14.08097315812135,14.08097315812135
מרצדס-בנץ S-class,289261.5064935065,148267.53246753247,107.77922077922078,15.491432249849165,15.491432249849165
ניסאן אקס טרייל,90974.32846715329,116698.35036496351,67.60218978102189,6.565905499665047,6.565905499665047
ניסאן ג'וק,48095.14835164835,110759.75824175825,108.62637362637362,8.468939103763335,8.468939103763335
ניסאן מיקרה,23737.43448275862,148803.2068965517,112.78620689655172,13.440716930344022,13.440716930344022
ניסאן סנטרה,66234.6013986014,98496.21678321678,55.41958041958042,7.566435525840079,7.566435525840079
ניסאן קשקאי,61099.705440900565,124722.21013133209,96.83864915572232,8.237306935473468,8.237306935473468
סובארו B4/לגאסי,15259.576923076924,191508.13461538462,177.80769230769232,34.32141788527159,34.32141788527159
סובארו XV,65824.53284671533,145032.15328467154,85.2992700729927,5.343359960447195,5.343359960447195
סובארו אימפרזה,17832.1376146789,185273.6513761468,182.06422018348624,38.829612511706884,38.829612511706884
סובארו פורסטר,84903.55555555556,157481.93464052287,99.43790849673202,9.239683591976073,9.239683591976073
סוזוקי S-Cross,104091.77215189874,75927.37974683545,30.949367088607595,6.025794057569263,6.025794057569263
סוזוקי SX4,16587.757575757576,199331.55555555556,171.06060606060606,16.48702444792306,16.48702444792306
סוזוקי איגניס,73619.21153846153,75691.75,49.80769230769231,6.256071018478302,6.256071018478302
סוזוקי אלטו,11438.36231884058,176835.14492753622,154.42028985507247,16.815344171509697,16.815344171509697
סוזוקי ג'ימני,65842.76315789473,159440.6052631579,154.18421052631578,10.567268269461342,10.567268269461342
סוזוקי גרנד ויטרה,35454.14473684211,209117.61842105264,193.92105263157896,15.31313319373213,15.31313319373213
סוזוקי ויטרה,85392.37333333334,104005.16666666667,59.04666666666667,6.665163223662178,6.665163223662178
סוזוקי סוויפט,43532.8870967742,137221.34677419355,126.91935483870968,14.505285184627255,14.505285184627255
סוזוקי קרוסאובר,52404.40833333333,142980.99166666667,92.00833333333334,9.327935152976066,9.327935152976066
סיאט אטקה,93570.84126984127,97706.90476190476,57.0,7.112947094260027,7.112947094260027
סיאט איביזה,41967.11877394636,141287.30268199233,109.23371647509579,14.302134589084472,14.302134589084472
סיאט ארונה,83172.24626865672,88639.63432835821,53.38805970149254,4.996758735685811,4.996758735685811
סיאט לאון,59149.29931972789,146343.54421768707,110.40816326530613,13.62324522989924,13.62324522989924
סיטרואן C3,40805.24409448819,106757.25984251969,85.76377952755905,18.851646103334215,18.851646103334215
סיטרואן C4,53849.98924731183,125099.72043010753,68.7921146953405,18.229138204068903,18.229138204068903
סיטרואן C5 איירקרוס,89714.28787878787,98095.63636363637,47.54545454545455,6.152672492291645,6.152672492291645
סיטרואן ברלינגו,70600.7905982906,147153.2863247863,66.69658119658119,12.513000507534871,12.513000507534871
סקודה אוקטביה,65516.95596330275,142255.84220183486,84.84954128440367,8.626296597888729,8.626296597888729
סקודה סופרב,93601.83443708609,131621.6655629139,79.17218543046357,11.739544881707202,11.739544881707202
סקודה פאביה,34176.76530612245,157734.33673469388,123.62244897959184,14.200534085446908,14.200534085446908
סקודה קארוק,91372.4328358209,104214.25373134328,57.02985074626866,4.966206162196398,4.966206162196398
סקודה קודיאק,126852.31067961165,103026.5145631068,53.567961165048544,5.663092114299774,5.663092114299774
סקודה ראפיד,27397.869047619046,185802.35714285713,108.95238095238095,9.087421592910932,9.087421592910932
פולקסווגן ג'טה,19743.65671641791,193451.58208955225,151.17910447761193,14.380453810760994,14.380453810760994
פולקסווגן גולף,53546.48905109489,157699.40875912408,139.8102189781022,25.7955739963414,25.7955739963414
פולקסווגן טיגואן,93543.65789473684,118366.26315789473,86.69736842105263,11.16408420098153,11.16408420098153
פולקסווגן פאסאט,52724.7,168710.04285714286,126.58571428571429,18.26019874658376,18.26019874658376
פולקסווגן פולו,36970.0,145105.325,142.375,11.97838136289126,11.97838136289126
פורד אקספלורר,114101.05479452055,140567.13698630137,100.6986301369863,8.210922127350031,8.210922127350031
פורד פוקוס,15742.135265700483,189904.76811594202,154.71497584541063,22.056224521478626,22.056224521478626
פיאט 500,35306.869047619046,101367.85714285714,103.77380952380952,11.560961314834563,11.560961314834563
פיאט דוקאטו,71598.3492063492,207225.3015873016,88.34920634920636,23.198940519148213,23.198940519148213
פיג'ו 2008,61468.47191011236,87951.0,64.14606741573034,15.078207153779845,15.078207153779845
פיג'ו 208,36424.96850393701,107145.64566929133,90.91338582677166,20.756193756568376,20.756193756568376
פיג'ו 3008,85864.12429378531,91394.21751412429,58.18926553672316,6.642161063459124,6.642161063459124
פיג'ו 5008,92657.81318681319,97769.18681318681,52.81318681318681,8.592915165838514,8.592915165838514
צ׳רי FX,129999.48148148147,27629.09259259259,18.01851851851852,2.98107686551836,2.98107686551836
צ׳רי טיגו 8 פרו,157849.19642857142,34150.80357142857,16.767857142857142,4.057958902834223,4.057958902834223
קיה נירו,98821.93666026871,108621.64491362764,57.2341650671785,5.417074182955838,5.417074182955838
קיה נירו פלוס,126178.58,57520.78,25.98,4.170988811535458,4.170988811535458
קיה סורנטו,114235.44444444444,121663.5,82.29629629629629,7.558474608752799,7.558474608752799
קיה סטוניק,83713.35897435897,74988.34188034188,46.18803418803419,5.210110134947711,5.210110134947711
קיה סיד,31769.62376237624,186594.9207920792,105.81188118811882,10.500782818074596,10.500782818074596
קיה סלטוס,109247.38513513513,58651.65540540541,38.858108108108105,3.1886579299035174,3.1886579299035174
קיה ספורטז',76213.61976549414,111447.85092127303,79.65494137353434,5.8601802674920505,5.8601802674920505
קיה פיקנטו,53208.58172458172,89581.1879021879,76.13256113256114,6.748656220482545,6.748656220482545
קיה ריו,24670.38157894737,178035.88157894736,127.84210526315789,20.701683115223208,20.701683115223208
רנו מגאן,62761.81294964029,132650.5287769784,62.84892086330935,10.949546055196699,10.949546055196699
רנו פלואנס,16459.18918918919,217111.8108108108,132.8918918918919,31.800953863034206,31.800953863034206
רנו קליאו,32456.220588235294,136549.35784313726,98.49019607843137,15.143586008411038,15.143586008411038
רנו קנגו,40135.22093023256,177470.31395348837,84.72093023255815,10.20784356933987,10.20784356933987
רנו קפצ'ור,53210.57142857143,95944.21428571429,84.25714285714285,10.267274455707147,10.267274455707147
שברולט אורלנדו,21554.4,183642.1,116.28,21.143041337452374,21.143041337452374
שברולט אקווינוקס,82379.28,90713.9,63.08,8.554321109844139,8.554321109844139
שברולט טראוורס,102095.96694214876,129852.90909090909,95.14049586776859,12.407104702543357,12.407104702543357
שברולט טראקס,41511.79518072289,115923.43373493975,99.855421686747,14.936267346986673,14.936267346986673
שברולט טרייל בלייזר,86742.54901960785,96675.29411764706,62.1764705882353,7.472321857033098,7.472321857033098
שברולט מאליבו,32412.82608695652,148108.59420289856,122.65217391304348,30.50289222435542,30.50289222435542
שברולט סוניק,13447.09090909091,131561.0,136.43636363636364,15.600692948626056,15.600692948626056
שברולט ספארק,39907.522821576764,111024.1908713693,89.03319502074689,11.983058036397948,11.983058036397948
שברולט קרוז,14435.924050632912,146810.6582278481,136.83544303797467,36.93631188661904,36.93631188661904
