title,avg_price_by_title,avg_mileage_by_title,avg_months_on_road_by_title,std_error_pct
אאודי A1,65859.55208333333,118907.125,100.26041666666667,7.520856822579581
אאודי A3,108974.98850574713,107166.74137931035,90.29885057471265,8.703932064589562
אאודי A4,96881.15384615384,120659.53846153847,100.49230769230769,9.505880723382782
אאודי Q3,147232.96478873238,81966.78873239437,69.6056338028169,6.207003562400976
אאודי Q5,120680.02747252748,121950.84615384616,97.58791208791209,8.84951725336817
אאודי Q7,222213.37837837837,132686.0945945946,91.04054054054055,10.336019706017044
אופל אסטרה,15751.088,161870.288,126.384,19.143959382793977
אופל מוקה,54713.14473684211,99035.15789473684,79.23684210526316,12.523372406120064
אופל קורסה,45454.531746031746,107427.00793650794,84.97619047619048,16.445136642901613
איסוזו די-מקס,95003.125,230774.86904761905,117.74404761904762,8.866431010274667
אלפא רומיאו ג'ולייטה,40632.544117647056,137345.11764705883,115.8529411764706,16.183561726978596
אם ג'י EHS PHEV,115023.8081632653,68004.62040816326,37.608163265306125,3.486437111529849
אם ג'י MG4,122952.96,17436.84,11.64,4.136696281788897
אם ג'י ZS,77898.92079207921,74979.46534653465,48.54455445544554,7.533342999681563
ב מ וו X1,116584.69444444444,88550.13888888889,75.62962962962963,7.660583519321715
ב מ וו X3,144330.66101694916,99896.32203389831,92.69491525423729,7.680137364553259
ב מ וו X5,227271.44186046513,136282.68604651163,96.61627906976744,9.013775924784266
ב מ וו X6,356354.4666666667,109075.7,78.01666666666667,10.186538055389416
ב מ וו סדרה 1,77487.17322834645,107892.03937007874,94.85826771653544,8.983613410706079
ב מ וו סדרה 3,127307.33640552996,111959.4470046083,94.90783410138249,8.738979390182335
ב מ וו סדרה 4,247420.5294117647,65455.23529411765,53.90196078431372,6.847837963949403
ב מ וו סדרה 5,213881.85714285713,106962.0,85.70476190476191,7.68600150616191
בי.ווי.די אטו 3,130730.53053435114,41348.064885496184,22.49618320610687,3.7649654296476474
ג'אקו J7,179021.01886792452,1395.9433962264152,2.69811320754717,2.671081480640851
ג'יפ גרנד צ'ירוקי,120035.61979166667,152264.82291666666,111.58333333333333,10.708919424528032
ג'יפ קומפאס,121816.24,72027.46,58.58,9.576043274664636
ג'יפ רנגלר,230118.3161764706,75713.73529411765,68.08823529411765,8.338039460550569
ג׳ילי Geometry C,116786.20639534884,47295.473837209305,26.305232558139537,4.426370961175324
דאצ'יה דאסטר,56294.22068965517,136549.24137931035,66.31724137931035,7.954754938812929
דייהטסו סיריון,9314.275510204081,202518.98979591837,201.12244897959184,17.796997766153776
הונדה אקורד,27536.824561403508,201513.80701754385,189.94736842105263,20.47219391785613
הונדה ג'אז,35283.290322580644,175189.24193548388,132.80645161290323,9.165225713463565
הונדה סיוויק,25317.066666666666,196167.616,169.808,13.764549454125236
וולוו XC40,171752.92857142858,67620.51785714286,42.44642857142857,6.346153897103062
וולוו XC60,119670.95652173914,143324.92753623187,93.01449275362319,10.706731213468618
טויוטה C-HR,113091.96282527881,85710.43866171004,58.910780669144984,4.685929372684093
טויוטה RAV4,133066.0456273764,116387.07604562737,80.36882129277566,6.651988289444158
טויוטה אוריס,39763.074829931975,210018.82993197278,124.24489795918367,9.699262089040799
טויוטה היילקס,155593.23762376237,222581.51485148515,111.99009900990099,9.773791092381359
טויוטה ורסו,34437.05172413793,232449.3103448276,151.9655172413793,8.430444688129343
טויוטה יאריס,47509.59362549801,150763.17131474105,137.54581673306774,11.203377939963403
טויוטה יאריס קרוס,136791.65060240965,38528.409638554214,17.204819277108435,3.817475536239594
טויוטה לנד קרוזר,156931.20422535212,258900.8838028169,168.3556338028169,8.71323746686701
טויוטה פריוס,38411.235714285714,249901.65,148.12857142857143,6.876384837318082
טויוטה קאמרי,74638.32173913044,173953.21739130435,112.03478260869565,9.65312274022321
טויוטה קורולה,73079.04966641957,133109.91994069683,91.8598962194218,6.907538191929074
טסלה מודל 3,163666.9224489796,64883.27346938776,33.755102040816325,4.348119759223157
טסלה מודל Y,211931.2523364486,38377.2523364486,19.457943925233646,3.548278295498125
יונדאי I35,31499.325,184254.3875,134.6125,6.998814865307767
יונדאי i10,47721.60271646859,95663.12393887946,82.47198641765705,6.9989387760032304
יונדאי i20,60991.20150659134,103247.54425612053,80.2768361581921,6.653247193713426
יונדאי i30,19856.069620253165,190732.06012658228,157.7373417721519,9.67085884107543
יונדאי ix35,36592.94117647059,171514.57647058825,148.1764705882353,7.729176301937688
יונדאי איוניק,88998.95322245322,114869.37941787942,58.57172557172557,4.083373649351741
יונדאי איוניק 5,164583.74814814815,51716.74074074074,27.8,3.9353486837793605
יונדאי איוניק 6,195188.34,23207.64,18.66,4.922379887937363
יונדאי אלנטרה,111903.384,78845.91733333333,41.808,3.882221402833225
יונדאי אקסנט i25,29519.84542586751,171962.7665615142,131.29652996845425,10.529071666453747
יונדאי באיון,104346.10909090909,34321.96363636364,26.345454545454544,4.089529301774344
יונדאי גטס,7474.135593220339,194306.11864406778,218.33898305084745,15.325264288279339
יונדאי וניו,101189.75294117647,45101.75294117647,27.71764705882353,2.919713577738965
יונדאי טוסון,104495.83943661972,86020.23098591549,67.99577464788733,5.715255245205419
יונדאי סונטה,104938.62827225131,107752.30366492146,66.40837696335079,6.592282305108582
יונדאי סנטה פה,88608.54205607477,153379.9719626168,119.86915887850468,9.81889648998045
יונדאי קונה,108862.15934065935,60743.554945054944,38.96153846153846,4.788768586765475
לנד רובר ריינג' רובר איווק,193692.94366197183,84354.80281690141,74.53521126760563,6.194902705411306
לנד רובר ריינג' רובר ספורט,352976.275862069,108261.5632183908,78.0,7.027085711740184
לקסוס NX,152016.09615384616,105418.98076923077,79.9423076923077,5.7197188334726015
מאזדה 2,50358.26296296297,123580.43703703703,103.75185185185185,8.491404463946088
מאזדה 3,34926.044850498336,181021.5199335548,151.77076411960132,12.671208376113235
מאזדה 5,20278.219653179192,216758.29479768785,181.69942196531792,17.513788305700768
מאזדה 6,55383.821621621624,151413.36756756756,121.82702702702703,11.763534436154321
מאזדה CX-3,107973.515625,39778.234375,29.03125,4.377475108626692
מאזדה CX-30,104991.50847457627,72572.2372881356,48.59322033898305,5.427510027670876
מאזדה CX-5,93324.79045092838,110993.12201591511,80.55437665782493,5.407625196013535
מיני קופר,86313.27272727272,112719.22077922078,105.49350649350649,8.046382978158766
מיצובישי ASX,87658.86486486487,87009.8918918919,51.68468468468468,4.188660969025157
מיצובישי אאוטלנדר,87271.84797297297,144677.38851351352,90.69932432432432,6.527258419564511
מיצובישי אטראז',24011.189655172413,174274.5172413793,103.60344827586206,8.808860593497391
מיצובישי אקליפס קרוס,107257.97321428571,63202.080357142855,48.098214285714285,4.416331397251037
מיצובישי גרנדיס,15263.157894736842,258764.66666666666,191.89473684210526,23.82393762236092
מיצובישי טרייטון / L200,82594.06410256411,217038.97435897434,117.07692307692308,12.266367618574906
מיצובישי לנסר,10065.529411764706,222775.0294117647,201.31617647058823,21.571874185978142
מיצובישי ספייס סטאר,52740.169117647056,77217.54411764706,57.98529411764706,6.040583094196948
מיצובישי פג'רו,70805.496,287228.192,214.84,14.086969240422007
מרצדס-בנץ A-class,135485.9081632653,93699.92857142857,80.07142857142857,6.180889664957991
מרצדס-בנץ C-class,161516.6272189349,168544.7573964497,84.29585798816568,15.572538632787907
מרצדס-בנץ CLA,179547.25742574257,73576.59405940594,59.75247524752475,7.199665684239822
מרצדס-בנץ E-class,193971.4585987261,173512.69426751594,84.94267515923566,10.843205174041003
מרצדס-בנץ EQA,235209.10714285713,42089.642857142855,30.0,5.490219424930749
מרצדס-בנץ GLA,164919.625,77902.69642857143,68.44642857142857,5.852138449345624
מרצדס-בנץ GLC,312844.4938271605,65723.67901234567,52.148148148148145,9.509144809837684
מרצדס-בנץ GLE,384968.88679245283,84956.41509433962,56.39622641509434,12.422455403488668
מרצדס-בנץ S-class,275786.9074074074,148070.25925925927,111.77777777777777,13.680428753860506
ניסאן אקס טרייל,90976.29776674938,115494.67493796526,68.11166253101737,6.134912468338202
ניסאן ג'וק,50856.444444444445,106937.83950617284,104.82716049382717,8.336746964183899
ניסאן מיקרה,23807.438095238096,149463.2142857143,112.73809523809524,9.787119519212506
ניסאן סנטרה,65202.60199004975,99250.1592039801,56.985074626865675,5.082669209413898
ניסאן קשקאי,61849.60364145658,122214.09803921569,95.0266106442577,7.689755192967606
סובארו B4/לגאסי,15564.483870967742,198458.43548387097,176.03225806451613,26.20029073033119
סובארו XV,69967.34848484848,137093.9898989899,81.16161616161617,5.783981171361792
סובארו אימפרזה,16855.594405594406,190150.1048951049,179.4825174825175,18.58177353465822
סובארו פורסטר,87300.14410480349,150009.45851528386,96.24017467248909,8.272606469096026
סוזוקי S-Cross,104381.92173913044,74211.70434782609,30.965217391304346,3.674354258544245
סוזוקי SX4,16555.045454545456,194840.33333333334,171.59848484848484,14.381493404791787
סוזוקי איגניס,76195.85333333333,67562.94666666667,47.29333333333334,5.627453052640901
סוזוקי אלטו,11469.716049382716,176304.01234567902,154.93827160493828,13.660193783088749
סוזוקי ג'ימני,71060.5,145125.64,143.67,9.600530635925919
סוזוקי גרנד ויטרה,34999.625,212136.0625,195.15625,16.845995401412296
סוזוקי ויטרה,85385.93478260869,101468.1652173913,58.06956521739131,5.174593988197818
סוזוקי סוויפט,42978.979797979795,138344.84343434343,127.89393939393939,11.230435826100273
סוזוקי קרוסאובר,53678.638554216865,138884.14457831325,91.63855421686748,5.701643051267561
סיאט אטקה,95388.6761904762,94952.2,55.79047619047619,5.022596126556381
סיאט איביזה,42713.33519553073,141800.51117318435,106.98603351955308,10.904911372851423
סיאט ארונה,84298.1649484536,83661.47938144329,52.24742268041237,4.848728173547781
סיאט לאון,59804.36923076923,153767.841025641,107.62051282051281,10.345029191128834
סיטרואן C3,41086.34972677596,101931.84699453552,86.87978142076503,11.418161283340687
סיטרואן C4,53608.5103626943,124107.0621761658,68.40673575129534,10.840728524432489
סיטרואן C5 איירקרוס,89552.2688172043,98669.7311827957,48.12903225806452,5.829245446998959
סיטרואן ברלינגו,69858.91017964072,149318.36826347306,66.82035928143712,8.19722478612298
סיטרואן ג'אמפי,87647.7042253521,157705.14084507042,80.5774647887324,12.753238954835416
סקודה אוקטביה,67157.69512195123,140288.2899728997,82.75067750677506,8.066443709271763
סקודה אניאק iV,174954.62686567163,48719.23880597015,26.417910447761194,7.724303983193126
סקודה סופרב,95784.1247002398,130210.24940047962,79.17985611510791,10.897518301226748
סקודה פאביה,32672.138461538463,162049.73076923078,125.2,12.613097802183594
סקודה קאמיק,100724.30769230769,66346.76923076923,40.11538461538461,4.300294383845552
סקודה קארוק,95014.75454545455,101407.4909090909,53.74545454545454,4.821037066867678
סקודה קודיאק,125802.57947019867,103859.98013245034,53.7317880794702,5.967026932775054
סקודה ראפיד,27439.727272727272,184706.55454545454,109.37272727272727,7.878071495660039
סקייוול ET5,148923.26785714287,47342.0,24.285714285714285,5.984804038347397
סרס EV-3,91086.4262295082,44683.42622950819,28.16393442622951,5.33822872140033
פולקסווגן ג'טה,19017.156626506025,198097.92771084336,152.93975903614458,15.51991239799491
פולקסווגן גולף,53410.24615384615,151599.1846153846,137.3025641025641,18.038999406557515
פולקסווגן טיגואן,92702.90566037736,115992.78301886792,87.9245283018868,8.363982109267196
פולקסווגן טרנספורטר,65646.01960784313,246444.27450980392,134.80392156862746,10.000203085256317
פולקסווגן פאסאט,48441.25274725275,173041.35164835164,126.82417582417582,18.71059675357485
פולקסווגן פולו,38547.504,144296.584,137.032,11.152572579971618
פורד אדג',56869.230769230766,162546.93846153846,122.36923076923077,9.928694360597241
פורד אקספלורר,114080.14705882352,142567.6568627451,102.44117647058823,8.781684485234083
פורד פוקוס,16183.940074906366,187447.33707865168,153.59925093632958,20.459161125930663
פיאט 500,32318.6,102644.696,107.44,10.27726466563583
פיאט דובלו,35241.98148148148,170421.44444444444,85.07407407407408,10.629247341188565
פיאט דוקאטו,73392.80952380953,198480.13095238095,85.72619047619048,22.989786545784412
פיג'ו 2008,63416.27719298246,85193.74385964913,62.02105263157895,9.023190297151114
פיג'ו 208,36251.857142857145,103673.74175824175,91.78021978021978,14.784185664113222
פיג'ו 3008,85573.81509433962,90674.54528301887,58.24339622641509,5.787698587319004
פיג'ו 308,20687.11111111111,136230.25925925927,118.77777777777777,19.25679640958252
פיג'ו 5008,91233.078125,99384.5625,54.65625,5.461270284712535
צ׳רי FX,130583.47368421052,25762.21052631579,17.276315789473685,2.866284089285959
צ׳רי טיגו 8 פרו,156638.5975609756,36665.829268292684,17.0609756097561,3.9063209188979946
קאדילק XT5,141689.80701754385,92425.26315789473,66.85964912280701,5.2133563454040095
קופרה פורמנטור,190664.96774193548,38963.032258064515,26.741935483870968,5.298151646751066
קיה נירו,99095.42876165113,106877.50998668442,57.284953395472705,4.387153810288519
קיה נירו פלוס,125250.35616438356,60292.6301369863,27.08219178082192,3.6969955286599587
קיה סורנטו,108842.98717948717,127792.32692307692,87.55128205128206,6.862951682427215
קיה סטוניק,83326.15897435897,72455.15897435897,46.271794871794874,4.1920911513398105
קיה סיד,35149.306666666664,178287.90666666668,101.01333333333334,9.353210876586918
קיה סלטוס,108777.49065420561,58861.63551401869,38.39719626168224,3.1146601884493754
קיה ספורטז',77510.02888888889,108451.24777777778,78.03888888888889,5.136852495506843
קיה פורטה,23220.432835820895,192170.64179104476,137.77611940298507,10.159125987126925
קיה פיקנטו,53751.36856368564,87818.84101174345,75.0,6.0259546349240205
קיה קרניבל,82007.24137931035,168205.39655172414,119.1896551724138,17.522366624738616
קיה ריו,25977.038095238095,169553.7142857143,127.87619047619047,15.530786187113154
רנו מגאן,62584.09512195122,131721.5975609756,62.165853658536584,7.816259646273762
רנו פלואנס,15597.263157894737,220358.67368421052,134.5157894736842,19.701270897274988
רנו קדגא'ר,48617.746268656716,141625.7014925373,87.88059701492537,9.392949920826657
רנו קליאו,33454.37728937729,132775.86813186813,97.6959706959707,11.479420467406863
רנו קנגו,39322.50458715596,174142.91743119265,85.24770642201835,12.229654058917049
רנו קפצ'ור,55540.583333333336,91160.8425925926,81.98148148148148,8.830167666814189
שברולט אורלנדו,21905.16129032258,180759.75806451612,115.96774193548387,14.527751892351844
שברולט אקווינוקס,83054.66666666667,89994.23484848485,61.78030303030303,8.028202060267223
שברולט טראוורס,103918.55737704918,129619.10928961748,94.25136612021858,9.988821556995788
שברולט טראקס,42260.62295081967,110449.97540983607,99.06557377049181,11.274898171249365
שברולט טרייל בלייזר,88384.84269662922,87400.89887640449,53.49438202247191,6.39989910782565
שברולט מאליבו,30224.58415841584,151627.801980198,126.03960396039604,18.746939727550703
שברולט סוניק,13226.605633802817,134481.52112676058,136.85915492957747,16.5202656141587
שברולט ספארק,40421.25679758308,109953.56193353474,88.12990936555892,10.063541794035421
שברולט קרוז,14042.0625,146538.75,137.3125,21.32531939515043
